External ID	Issue Type	Summary	Priority	Epic / Parent	Estimate	Labels	Description	Dependencies
T17	Task	[T17] Убрать архивный каталог нормо-часов из operational matching	P1	E4	2d	road700,master-plan,p1,labor-norms,matching,archive	Исключить архивные каталоги нормо-часов из OCR и repair matching.	T16
T18	Task	[T18] Скрыть архивные каталоги из рабочих UI-форм нормо-часов	P1	E4	1.5d	road700,master-plan,p1,frontend,labor-norms,archive	Убрать архивные каталоги из рабочих форм и селекторов нормо-часов.	T16 T17
T19	Task	[T19] Формализовать жизненный цикл сервисов и архивного сервиса	P1	E4	2d	road700,master-plan,p1,services,lifecycle,archive	Ввести явную lifecycle-модель сервиса с допустимыми переходами и ограничениями.	
T20	Task	[T20] Добавить аудит на services	P1	E5	1d	road700,master-plan,p1,audit,services	Добавить полное audit-покрытие для операций с сервисами.	T19
T21	Task	[T21] Добавить аудит на labor-norm catalogs/items/import	P1	E5	2d	road700,master-plan,p1,audit,labor-norms,import	Покрыть аудитом каталоги нормо-часов, элементы каталога и импорт нормо-часов.	T16 T17 T18
T22	Task	[T22] Пересмотреть audit-visibility для сотрудника	P1	E5	2d	road700,master-plan,p1,audit,permissions,employee	Ограничить employee audit visibility до разрешенного уровня доступа.	T20 T21
T23	Task	[T23] Зафиксировать честный backup contract	P1	E6	1d	road700,master-plan,p1,backup,contract	Привести backup/restore contract к реальному поведению системы.	
T24	Task	[T24] Исправить post-restore поведение frontend	P1	E6	1.5d	road700,master-plan,p1,frontend,backup,restore	Сделать post-restore поведение frontend предсказуемым и консистентным.	T23
T25	Task	[T25] Усилить auth: revoke active JWT	P0	E6	2.5d	road700,master-plan,p0,security,auth,jwt	Отзывать активные JWT после password change, reset или recovery.	
T26	Task	[T26] Добавить rate limit на login/reset	P1	E6	1.5d	road700,master-plan,p1,security,auth,rate-limit	Ввести rate limiting для login и password reset endpoints.	T25
T27	Task	[T27] Исправить reset-link generation	P1	E6	1d	road700,master-plan,p1,auth,email,password-reset	Сделать генерацию reset links корректной и стабильной во всех окружениях.	T25 T26
T28	Task	[T28] Выровнять ORM и миграции для imports/jobs/conflicts	P1	E7	3d	road700,master-plan,p1,backend,orm,migrations,imports	Устранить schema drift между ORM, миграциями и фактической схемой imports/jobs/conflicts.	T12
T29	Task	[T29] Разобрать цикл document-repair связей	P1	E7	4d	road700,master-plan,p1,backend,relations,documents,repairs	Нормализовать relation model между document, repair и source/primary связями.	T08 T28
T30	Task	[T30] Добавить недостающие индексы под реальные query-patterns	P2	E7	2d	road700,master-plan,p2,backend,db,performance,indexes	Добавить недостающие индексы под реальные query patterns критичных запросов.	T28
T31	Task	[T31] Свести frontend API types в единый слой	P2	E8	2d	road700,master-plan,p2,frontend,types,api-contract	Вынести frontend API types и DTO mappings в единый shared contract layer.	T09 T18
T32	Task	[T32] Разгрузить App.tsx и orchestration hooks	P2	E8	3d	road700,master-plan,p2,frontend,app-shell,architecture	Декомпозировать App.tsx и перегруженные orchestration hooks.	T31
T33	Task	[T33] Погасить tsc --noUnusedLocals --noUnusedParameters	P2	E8	2d	road700,master-plan,p2,frontend,typescript,cleanup	Очистить frontend-код до чистого TypeScript-прохода без unused locals и parameters.	T31 T32
T34	Task	[T34] Оптимизировать review queue	P2	E8	2d	road700,master-plan,p2,review,performance,frontend,backend	Снизить latency и нагрузку review queue без изменения бизнес-правил.	T02 T30
T35	Task	[T35] Оптимизировать audit/search/dashboard/services	P2	E8	3d	road700,master-plan,p2,performance,audit,search,dashboard,services	Оптимизировать тяжелые экраны и API audit, search, dashboard и services.	T20 T21 T22 T30
T36	Task	[T36] Сократить frontend full bootstrap reloads	P2	E8	2d	road700,master-plan,p2,frontend,bootstrap,performance	Заменить лишние full bootstrap reloads на targeted refetch и корректную invalidation-логику.	T31 T32
T37	Task	[T37] Закрыть gap по финальному employee workflow	P1	E9	4d	road700,master-plan,p1,employee,workflow,uat	Довести employee workflow до целевого end-to-end сценария без логических разрывов.	T22 T29
T38	Task	[T38] Обновить README, UAT checklist и техдокументацию	P2	E9	2d	road700,master-plan,p2,documentation,uat,readme	Синхронизировать README, UAT checklist, roadmap и техдокументацию с фактическим состоянием проекта.	T37
